Исходное слово|Перевод|Количество упоминаний
с|p.|3
я|.|2
быть|be|2
здравствуйте|hello.|1
на|on|1
больничный|hospital's|1
температура|temperature|1
тридцать|thirty|1
девять|nine|1
завтра|tomorrow|1
пара|pair|1
не|not|1
сообщить|report|1
пожалуйста|please|1
группа|group|1
если|if|1
поправиться|get better|1
до|before|1
следующий|дараачийн|1
суббота|saturday|1
то|than|1
провести|mark|1
два|two|1
практический|практический|1
занятие|lesson|1
ноубук|laptop|1
а|а|1
лекция|lecture|1
остаться|stay on the runway|1
вы|vy|1
выслать|send|1
отдельно|separately|1
вместе|together with&#x0d;|1
вопрос|question|1
к|к|1
экзамен|exam|1
но|но|1
это|is|1
чуть|a little|1
поздний|late|1
когда|when|1
хороший|good|1
себя|it|1
чувствовать|feel|1
